Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Age	Sex	Ancestry	StudyID
Zeilinger S	NA	23691101	2013-05-17	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption, cell composition	M values	NA	Illumina HumanMethylation450	Whole blood	NA	1531	1	Adults	Both	European	23691101_smoking_former_vs_never_smoking
Koestler DC	NA	23868178	2013-07-19	Right vs left colon adenomas	EFO_0005406	Basic model	Table S1	DNA methylation	Right vs left colon adenomas	Age, sex	M values	NA	Illumina HumanMethylation450	Colon adenomas	NA	135	1	Adults	Both	Unclear	23868178_right_vs_left_colon_adenomas_basic_model
Koestler DC	NA	23868178	2013-07-19	Right vs left colon adenomas	EFO_0005406	Fully adjusted model	Table S1	DNA methylation	Right vs left colon adenomas	Age, sex, smoking, colon polyp size, alcohol consumption	M values	NA	Illumina HumanMethylation450	Colon adenomas	NA	135	1	Adults	Both	Unclear	23868178_right_vs_left_colon_adenomas_fully_adjusted_model
Philibert RA	NA	24120260	2013-10-11	Smoking	EFO_0006527, EFO_0004318	NA	Table 2	DNA methylation	Smoking	batch	Beta values	NA	Illumina HumanMethylation450	Lymphocytes	NA	101	1	Adults	Males	African	24120260_smoking
Florath I	NA	24163245	2014-03-01	Age	EFO_0000246	NA	Table 2	DNA methylation	Age	Sex, smoking, diabetes, cardiovascular disease, stroke, cancer, batch	Beta values	Years	Illumina HumanMethylation450	Whole blood	NA	498	1	Adults	Both	European	24163245_age
Hidalgo B	NA	24170695	2014-02-01	Fasting insulin	EFO_0004466	Discovery	Table 2	DNA methylation	Fasting insulin	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	CD4+ T-cells	NA	544	1	Adults	Both	European	24170695_fasting_insulin_discovery
Hidalgo B	NA	24170695	2014-02-01	HOMA-IR	EFO_0004501	Discovery	Table 3	DNA methylation	HOMA-IR	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	CD4+ T-cells	NA	544	1	Adults	Both	European	24170695_homair_discovery
Smyth LJ	NA	24253112	2013-11-19	Chronic kidney disease	EFO_0003884	NA	Table S2	DNA methylation	Chronic kidney disease	Age, sex	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	407	1	Adults	Both	European	24253112_chronic_kidney_disease
Demetriou CA	NA	24278132	2013-11-20	Age at menarche	EFO_0004703	NA	Table 4	DNA methylation	Age at menarche	Age, breast cancer status, batch	M values	NA	Illumina HumanMethylation450	Whole blood	Age at menarche converted into a binary variable: over 11 vs under 11 years	329	1	Adults	Females	European	24278132_age_at_menarche
Besingi W	NA	24334605	2014-05-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	NA	Table 2	DNA methylation	Smoking	Age, sex, exposure to snuff, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole Blood	NA	421	1	Adults	Both	European	24334605_smoking
Aslibekyan S	NA	24477300	2014-01-29	n-3 PUFA intake	NA	NA	Table 2	DNA methylation	n-3 PUFA intake	Age, sex, community group, batch	M values	NA	Illumina HumanMethylation450	Whole Blood	NA	185	1	NA	Both	Other	24477300_n3_pufa_intake
Nones K	NA	24500968	2014-05-09	Pancreatic ductal adenocarcinoma	EFO_0002517	NA	Table S4	DNA methylation	Pancreatic ductal adenocarcinoma	NA	Beta values	NA	Illumina HumanMethylation450	Pancreatic ductal adenocarcinoma, adjacent nontransformed pancreata	NA	196	1	NA	NA	Unclear	24500968_pancreatic_ductal_adenocarcinoma
Dogan MV	NA	24559495	2014-02-22	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	NA	Table 2	DNA methylation	Smoking	Cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	111	1	Adults	Females	African	24559495_smoking
Engel SM	NA	24561991	2014-02-20	Birth weight	EFO_0004344	NA	Table 2	Birth weight	DNA methylation	Sex, gestational age, season of birth, maternal age, maternal plasma cotinine, parity, dietary folate, asthma, preeclampsia	g	M values	Illumina HumanMethylation450	Cord blood	NA	1046	1	Infants	Both	European	24561991_birth_weight
Engel SM	NA	24561991	2014-02-20	Birth weight	EFO_0004344	Adjusted for cell composition	Table 2	Birth weight	DNA methylation	Sex, gestational age, season of birth, maternal age, maternal plasma cotinine, parity, dietary folate, asthma, preeclampsia, cell composition	g	M values	Illumina HumanMethylation450	Cord blood	NA	1046	1	Infants	Both	European	24561991_birth_weight_adjusted_for_cell_counts
Li Y	NA	24603599	2014-03-06	Frontotemporal dementia	Orphanet_282, HP_0000726	Dataset 2	Table S2	DNA methylation	Frontotemporal dementia	Age, sex, ethnicity, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	165	1	Geriatrics	Both	European, Other	24603599_frontotemporal_dementia_dataset_2
Li Y	NA	24603599	2014-03-06	Progressive supranuclear palsy	Orphanet_683	NA	Table S2	DNA methylation	Progressive supranuclear palsy	Age, sex, ethnicity, disease status, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	228	1	Geriatrics	Both	Other	24603599_progressive_supranuclear_palsy
Dick KJ	NA	24630777	2014-03-13	Body mass index	EFO_0004340	Adipose tissue	Table 3	Body mass index	DNA methylation	Age, sex, smoking, batch	kg/m2	Beta values	Illumina HumanMethylation450	Adipose	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	635	1	Adults	Females	European	24630777_body_mass_index_adipose_tissue
Dick KJ	NA	24630777	2014-03-13	Body mass index	EFO_0004340	Discovery	Table S2	Body mass index	DNA methylation	Age, sex, smoking, batch	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	459	1	Adults	Both	European	24630777_body_mass_index_discovery
Weder N	NA	24655651	2014-01-27	Depression	EFO_0007006	NA	Table 1	Depression	DNA methylation	Age, sex, ethnicity	NA	M values	Illumina HumanMethylation450	Saliva	NA	190	1	Children	Both	European, East Asian, African, Admixed, Other	24655651_depression
Harlid S	NA	24704585	2014-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	NA	Table 2	DNA methylation	Smoking	Age, diethylstilbestrol exposure, batch	Beta values	NA	Illumina HumanMethylation450	Whole Blood	NA	200	1	Adults	Females	European	24704585_smoking
Markunas CA	NA	24906187	2014-10-01	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Model 1	Table S2	DNA methylation	Maternal smoking during pregnancy	Offspring sex, offspring cleft status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	889	1	Infants	Both	European	24906187_maternal_smoking_during_pregnancy_model_1
Markunas CA	NA	24906187	2014-10-01	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Model 2	Table S2	DNA methylation	Maternal smoking during pregnancy	Offspring sex, offspring cleft status, birth weight, maternal age, maternal alcohol consumption, maternal education, maternal folic acid, supplement use, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	889	1	Infants	Both	European	24906187_maternal_smoking_during_pregnancy_model_2
Irvin MR	NA	24920721	2014-08-12	Triglycerides	EFO_0004530	Discovery	Table 1	DNA methylation	Triglycerides	Age, sex, batch	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells	Triglycerides levels were log-transformed	991	1	Adults	Both	European	24920721_triglycerides
Irvin MR	NA	24920721	2014-08-12	Very low-density lipoprotein cholesterol	EFO_0008317	Discovery	Table 1	DNA methylation	Very low-density lipoprotein cholesterol	Age, sex, batch	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells	Very low-density lipoprotein cholesterol levels were log-transformed	991	1	Adults	Both	European	24920721_very_lowdensity_lipoprotein_cholesterol
Siegel EM	NA	25003289	2014-08-01	High vs low risk anal cancer	EFO_0003835	NA	Table 2	DNA methylation	High vs low risk anal cancer	NA	Beta values	NA	Illumina HumanMethylation450	Anal tumour	NA	121	1	Adults	Both	Unclear	25003289_high_vs_low_risk_anal_cancer
Kinoshita M	NA	25052007	2014-07-23	Schizophrenia	EFO_0000692	NA	Table S2	DNA methylation	Schizophrenia	Age, sex, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	105	1	Adults	Both	East Asian	25052007_schizophrenia
Aslibekyan S	NA	25075435	2014-11-01	Sunlight duration	OMIT_0014339	NA	Table 2	DNA methylation	Sunlight duration	Age, sex, smoking, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	CD4+ T-cells	NA	991	1	Adults	Both	European	25075435_sunlight_duration
Aslibekyan S	NA	25075435	2014-11-01	Sunlight duration	OMIT_0014339	Adjusted for vitamin D intake	Table 2	DNA methylation	Sunlight duration	Age, sex, smoking, vitamin D intake, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	CD4+ T-cells	NA	991	1	Adults	Both	European	25075435_sunlight_duration_adjusted_for_vitamin_d_intake
De Jager PL	NA	25129075	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication	Table S2	DNA methylation	Alzheimers disease Braak score	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Prefrontal cortex	NA	113	1	NA	NA	Unclear	25129075_alzheimers_disease_braak_score_replication
De Jager PL	NA	25129075	2014-08-17	Alzheimers disease	EFO_0000249, EFO_0006801	Discovery	Table S2	Alzheimers disease	DNA methylation	Age, sex, batch	NA	Beta values	Illumina HumanMethylation450	Cerebral cortex	NA	708	2	Geriatrics	Both	European	25129075_alzheimers_disease_discovery
De Jager PL	NA	25129075	2014-08-17	Burden of neuritic amyloid plaques	EFO_0000249, EFO_0006801	Discovery model 1	Table S2	DNA methylation	Burden of neuritic amyloid plaques	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Cerebral cortex	NA	708	2	Geriatrics	Both	European	25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
De Jager PL	NA	25129075	2014-08-17	Burden of neuritic amyloid plaques	EFO_0000249, EFO_0006801	Discovery model 3	Table S2	DNA methylation	Burden of neuritic amyloid plaques	Age, sex, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Cerebral cortex	Model additionally adjusted for estimated cell composition, surrogate variables	708	2	Geriatrics	Both	Unclear	25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Cross-cortex model	Table S9	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Cross-cortex	NA	104	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_crosscortex_model
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in cerebellum	Table S6	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Cerebellum	NA	108	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_discovery_in_cerebellum
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in entorhinal cortex	Table S3	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Entorhinal cortex	NA	104	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_discovery_in_entorhinal_cortex
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in prefrontal cortex	Table S5	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Prefrontal cortex	NA	110	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_discovery_in_prefrontal_cortex
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in superior temporal gyrus	Table S4	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Superior temporal gyrus	NA	113	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_discovery_in_superior_temporal_gyrus
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication in prefrontal cortex	Table S5	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Prefrontal cortex	NA	142	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_replication_in_prefrontal_cortex
Lunnon K	NA	25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication in superior temporal gyrus	Table S4	DNA methylation	Alzheimers disease Braak stage	Age, sex, batch	Beta values	NA	Illumina HumanMethylation450	Superior temporal gyrus	NA	144	1	NA	NA	Unclear	25129077_alzheimers_disease_braak_stage_replication_in_superior_temporal_gyrus
Shah S	NA	25249537	2014-09-23	Sex	PATO_0000047	Discovery	Table S3	DNA methylation	Sex	Smoking, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	815	1	Geriatrics	Both	European	25249537_sex_discovery
Shah S	NA	25249537	2014-09-23	Sex	PATO_0000047	Replication	Table S3	DNA methylation	Sex	Smoking, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	445	1	Geriatrics	Both	European	25249537_sex_replication
Shah S	NA	25249537	2014-09-23	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S2	DNA methylation	Smoking	Sex, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	535	1	Geriatrics	Both	Unclear	25249537_smoking_current_vs_never_smoking_discovery
Shah S	NA	25249537	2014-09-23	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking replication	Table S2	DNA methylation	Smoking	Sex, cell composition, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	232	1	Geriatrics	Both	Unclear	25249537_smoking_current_vs_never_smoking_replication
Bonder MJ	NA	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	NA	Additional file 2	DNA methylation	Fetal vs adult liver	Sex, batch	M values	NA	Illumina HumanMethylation450	Liver	NA	195	2	NA	NA	Unclear	25282492_fetal_vs_adult_liver
Campanella G	NA	25324151	2014-10-15	Migration in Italy	NA	South-to-north migrants vs north-western natives	Table S2	DNA methylation	Migration in Italy	Sex, case-control status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	733	1	Adults	Both	European	25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives
Campanella G	NA	25324151	2014-10-15	Migration in Italy	NA	South-to-north migrants vs north-western natives adjusted for diet	Table S2	DNA methylation	Migration in Italy	Sex, smoking, case-control status, diet, physical activity, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	733	1	Adults	Both	European	25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives_adjusted_for_diet
Campanella G	NA	25324151	2014-10-15	Migration in Italy	NA	South-to-north migrants vs southern natives	Table S1	DNA methylation	Migration in Italy	Sex, case-control status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	313	1	Adults	Both	European	25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives
Campanella G	NA	25324151	2014-10-15	Migration in Italy	NA	South-to-north migrants vs southern natives adjusted for diet	Table S1	DNA methylation	Migration in Italy	Sex, smoking, case-control status, diet, physical activity, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	313	1	Adults	Both	European	25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives_adjusted_for_diet
Argos M	NA	25325195	2014-10-17	Blood arsenic concentration	CHEBI_27563	Discovery	Table 2	DNA methylation	Blood arsenic concentrations	Age, sex, batch	Beta values	ug/l	Illumina HumanMethylation450	Whole blood	NA	400	1	Adults	Both	South Asian	25325195_blood_arsenic_concentration_discovery
Argos M	NA	25325195	2014-10-17	Urinary arsenic concentrations	EFO_0004880, CHEBI_27563	Discovery	Table 2	DNA methylation	Urinary arsenic concentrations	Age, sex, batch	Beta values	ug/g	Illumina HumanMethylation450	Urine	NA	400	1	Adults	Both	South Asian	25325195_urinary_arsenic_concentration_discovery
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, cell composition, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	132	1	Children	Both	European	25325234_maternal_smoking_in_pregnancy_discovery
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery adjusted for current participant and parent smoking	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, participant smoking, parent smoking, cell composition, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	125	1	Children	Both	European	25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_and_parent_smoking
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery adjusted for current participant smoking	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, participant smoking, cell composition, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	128	1	Children	Both	European	25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_smoking
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at 17	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, socio-economic position, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	219	1	Children	NA	European	25325234_maternal_smoking_in_pregnancy_replication_at_17
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at age 7	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, socio-economic position, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	447	1	Children	NA	European	25325234_maternal_smoking_in_pregnancy_replication_at_age_7
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at age 7 adjusted for current parent smoking	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, parent smoking, maternal education, socio-economic position, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood	NA	416	1	Children	NA	European	25325234_maternal_smoking_in_pregnancy_replication_at_age_7_adjusted_for_current_parent_smoking
Lee KW	NA	25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at birth	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, socio-economic position, batch	M values	Cigarettes per day	Illumina HumanMethylation450	Cord blood	NA	441	1	Infants	NA	European	25325234_maternal_smoking_in_pregnancy_replication_at_birth
Reynolds LM	NA	25404168	2014-11-18	Age	EFO_0000246	Monocytes	Additional file 1	DNA methylation	Age	Sex, ethnicity, batch	M values	years	Illumina HumanMethylation450	Monocytes	NA	1264	1	Adults	Both	European, African, Admixed	25404168_age_monocytes
Reynolds LM	NA	25404168	2014-11-18	Age	EFO_0000246	T cells	Additional file 1	DNA methylation	Age	Sex, ethnicity, batch	M values	Years	Illumina HumanMethylation450	T cells	NA	227	1	NA	NA	Unclear	25404168_age_t_cells
Tsaprouni LG	CARDIOGENICS	25424692	2014-10-31	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	NA	Table S2	DNA methylation	Smoking	Age, sex, disease status, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	464	1	Adults	Both	European	25424692_smoking
Tan Q	NA	25476734	2014-12-04	Birth weight	EFO_0004344	NA	Main text	DNA methylation	Birth weight	Age, sex, socio-economic position, batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	Twin study assessing association between methylation in adult blood and twin birth weight discordance	150	1	Adults	Both	European	25476734_birth_weight
Richmond RC	NA	25552657	2014-12-30	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Adjusted model	Table 3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, socio-economic position, paternal smoking, maternal alcohol in pregnancy, batch	M values	NA	Illumina HumanMethylation450	Cord blood	NA	744	1	Adults	Both	European	25552657_maternal_smoking_in_pregnancy_adjusted_model
Richmond RC	NA	25552657	2014-12-30	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Unadjusted model	Table 3	DNA methylation	Maternal smoking in pregnancy	batch	M values	NA	Illumina HumanMethylation450	Cord blood	NA	790	1	Infants	Both	European	25552657_maternal_smoking_in_pregnancy_unadjusted_model
Guida F	NA	25556184	2015-04-15	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	cell composition, batch	M values	NA	Illumina HumanMethylation450	Whole blood	NA	582	2	Adults	Females	European	25556184_smoking_current_vs_never_smoking
Guida F	NA	25556184	2015-04-15	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table 1	DNA methylation	Smoking	cell composition, batch	M values	NA	Illumina HumanMethylation450	Whole blood	NA	568	2	Adults	Females	European	25556184_smoking_former_vs_never_smoking
Pfeiffer L	NA	25583993	2015-01-12	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery	Table 2	High-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake, cell composition	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood	NA	1776	1	Adults	Both	European	25583993_highdensity_lipoprotein_cholesterol_discovery
Pfeiffer L	NA	25583993	2015-01-12	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication	Table 2	High-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake, cell composition	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood	NA	971	2	Adults	Both	European	25583993_highdensity_lipoprotein_cholesterol_replication
Pfeiffer L	NA	25583993	2015-01-12	Low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery	Table 2	Low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake, cell composition	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood	NA	1776	1	Adults	Both	European	25583993_lowdensity_lipoprotein_cholesterol_discovery
Pfeiffer L	NA	25583993	2015-01-12	Triglycerides	EFO_0004530, CHEBI_17855	Discovery	Table 2	Triglycerides	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake, cell composition	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood	NA	1776	1	Adults	Both	European	25583993_triglycerides_discovery
Pfeiffer L	NA	25583993	2015-01-12	Triglycerides	EFO_0004530, CHEBI_17855	Replication	Table 2	Triglycerides	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake, cell composition	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood	NA	971	2	Adults	Both	European	25583993_triglycerides_replication
Prados J	NA	25612291	2015-01-22	Borderline personality disorder vs major depressive disorder	HP_0012076, EFO_0007634, EFO_0004247	NA	Table 3	DNA methylation	Borderline personality disorder vs major depressive disorder	batch	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	189	1	Adults	Both	Unclear	25612291_borderline_personality_disorder_vs_major_depressive_disorder
Marioni RE	NA	25617346	2015-01-22	Fluid type general intelligence	EFO_0004337	NA	Table S2	DNA methylation	Fluid type general intelligence	Age, sex, cell composition	Beta values	NA	Illumina HumanMethylation450	Whole blood	NA	1072	1	Geriatrics	Both	European	25617346_fluid_type_general_intelligence
Marioni RE	NA	25617346	2015-01-22	Forced expiratory volume in one second	EFO_0004314	NA	Table S2	DNA methylation	Forced expiratory volume in one second	Age, sex, smoking, height, cell composition	Beta values	l	Illumina HumanMethylation450	Whole blood	NA	1085	1	Geriatrics	Both	European	25617346_lung_function_fev1
